,image_label,amusement,awe,contentment,disgust,excitement,fear,neutral,sadness,aesthetic_score
0,iaa_pub10000_.jpg,12,1,0,0,1,0,11,0,3.04
1,iaa_pub10001_.jpg,6,1,1,0,0,6,11,0,3.28
2,iaa_pub10002_.jpg,4,0,1,2,1,0,17,0,2.9
3,iaa_pub10003_.jpg,7,5,1,0,1,0,11,0,3.56
4,iaa_pub10004_.jpg,3,0,0,0,3,1,18,0,3.04
5,iaa_pub10005_.jpg,7,0,1,1,2,1,12,1,3.68
6,iaa_pub10006_.jpg,14,1,1,0,0,0,9,0,3.62
7,iaa_pub10007_.jpg,7,4,1,0,1,0,12,0,3.36
8,iaa_pub10008_.jpg,4,2,0,1,1,2,14,1,3.22
9,iaa_pub10009_.jpg,16,1,1,0,0,0,7,0,3.72
10,iaa_pub1000_.jpg,9,5,2,0,0,0,9,0,3.64
11,iaa_pub10010_.jpg,5,3,0,0,1,1,15,0,2.32
12,iaa_pub10011_.jpg,10,0,1,0,0,0,16,0,3.240740740740741
13,iaa_pub10012_.jpg,4,1,0,0,2,2,16,2,3.0185185185185186
14,iaa_pub10013_.jpg,6,0,2,0,0,0,19,0,3.037037037037037
15,iaa_pub10014_.jpg,6,0,0,0,0,1,20,0,2.074074074074074
16,iaa_pub10015_.jpg,6,2,1,0,2,0,16,0,3.5185185185185186
17,iaa_pub10016_.jpg,4,0,0,0,0,1,21,1,2.592592592592593
18,iaa_pub10017_.jpg,8,0,1,0,0,0,18,0,3.1666666666666665
19,iaa_pub10018_.jpg,2,0,12,1,1,0,11,0,2.9814814814814814
20,iaa_pub10019_.jpg,11,0,2,0,2,1,10,1,3.537037037037037
21,iaa_pub1001_.jpg,5,1,14,0,1,0,4,0,3.56
22,iaa_pub10020_.jpg,5,0,5,0,1,0,16,0,2.9814814814814814
23,iaa_pub10021_.jpg,2,0,3,0,0,0,22,0,2.7777777777777777
24,iaa_pub10022_.jpg,7,1,2,0,0,0,17,0,3.1481481481481484
25,iaa_pub10023_.jpg,4,0,8,0,0,0,15,0,3.074074074074074
26,iaa_pub10024_.jpg,5,0,2,0,0,0,17,3,3.074074074074074
27,iaa_pub10025_.jpg,3,0,1,1,0,0,22,0,2.925925925925926
28,iaa_pub10026_.jpg,3,2,1,0,2,0,19,0,3.2222222222222223
29,iaa_pub10027_.jpg,3,0,1,0,0,0,23,0,2.703703703703704
30,iaa_pub10028_.jpg,0,0,1,0,0,0,26,0,2.185185185185185
31,iaa_pub10029_.jpg,11,1,1,0,2,0,12,0,3.6666666666666665
32,iaa_pub1002_.jpg,5,2,2,0,0,0,16,0,3.0
33,iaa_pub10030_.jpg,6,0,4,0,0,0,17,0,3.333333333333333
34,iaa_pub10031_.jpg,5,2,2,0,0,1,16,1,3.203703703703704
35,iaa_pub10032_.jpg,5,0,10,0,1,0,11,0,3.2222222222222223
36,iaa_pub10033_.jpg,9,2,1,0,3,0,12,0,3.796296296296296
37,iaa_pub10034_.jpg,0,0,0,3,1,0,23,0,1.7222222222222223
38,iaa_pub10035_.jpg,8,0,2,0,2,2,12,1,3.092592592592593
39,iaa_pub10036_.jpg,6,0,0,2,2,1,16,0,3.5
40,iaa_pub10037_.jpg,3,0,1,1,0,0,22,0,2.388888888888889
41,iaa_pub10038_.jpg,0,0,0,2,1,0,24,0,1.351851851851852
42,iaa_pub10039_.jpg,3,3,1,0,4,11,5,0,3.7222222222222223
43,iaa_pub1003_.jpg,3,0,1,0,0,0,21,0,2.02
44,iaa_pub10040_.jpg,2,4,1,0,0,0,19,1,2.740740740740741
45,iaa_pub10041_.jpg,3,0,11,0,1,0,12,0,3.388888888888889
46,iaa_pub10042_.jpg,3,0,1,0,0,2,20,1,2.740740740740741
47,iaa_pub10043_.jpg,2,0,2,0,0,0,23,0,2.703703703703704
48,iaa_pub10044_.jpg,8,0,0,0,1,0,18,0,2.814814814814815
49,iaa_pub10045_.jpg,8,1,1,0,0,1,16,0,2.9074074074074074
50,iaa_pub10046_.jpg,2,0,15,0,1,0,9,0,3.1666666666666665
51,iaa_pub10047_.jpg,3,0,2,0,0,1,21,0,3.0185185185185186
52,iaa_pub10048_.jpg,8,3,2,0,0,0,14,0,3.6666666666666665
53,iaa_pub10049_.jpg,2,0,0,2,0,8,14,1,2.592592592592593
54,iaa_pub1004_.jpg,8,1,6,0,0,0,10,0,3.8
55,iaa_pub10050_.jpg,4,0,1,0,1,0,21,0,3.0
56,iaa_pub10051_.jpg,10,0,1,0,1,0,15,0,3.555555555555556
57,iaa_pub10052_.jpg,3,0,14,0,0,0,10,0,3.1481481481481484
58,iaa_pub10053_.jpg,2,3,0,0,1,1,20,0,2.740740740740741
59,iaa_pub10054_.jpg,6,0,3,0,0,0,18,0,3.5
60,iaa_pub10055_.jpg,2,0,1,1,0,0,23,0,2.2222222222222223
61,iaa_pub10056_.jpg,5,0,2,0,1,0,18,1,3.7222222222222223
62,iaa_pub10057_.jpg,4,0,1,0,0,0,22,0,3.111111111111111
63,iaa_pub10058_.jpg,15,0,2,0,0,0,10,0,3.759259259259259
64,iaa_pub10059_.jpg,7,3,2,0,2,0,13,0,3.462962962962963
65,iaa_pub1005_.jpg,4,1,1,0,1,0,18,0,2.36
66,iaa_pub10060_.jpg,12,0,0,0,2,1,12,0,3.259259259259259
67,iaa_pub10061_.jpg,3,7,0,0,1,0,16,0,3.1481481481481484
68,iaa_pub10062_.jpg,10,0,1,0,1,0,15,0,3.2222222222222223
69,iaa_pub10063_.jpg,2,0,1,1,0,0,23,0,2.8703703703703702
70,iaa_pub10064_.jpg,9,2,0,0,0,0,16,0,3.5
71,iaa_pub10065_.jpg,6,1,0,2,3,5,10,0,3.537037037037037
72,iaa_pub10066_.jpg,2,0,1,0,2,0,22,0,3.333333333333333
73,iaa_pub10067_.jpg,3,0,1,1,1,0,21,0,3.0
74,iaa_pub10068_.jpg,4,0,0,0,2,0,21,0,3.1481481481481484
75,iaa_pub10069_.jpg,8,3,1,0,0,0,15,0,3.814814814814815
76,iaa_pub1006_.jpg,4,0,13,0,0,0,8,0,3.3
77,iaa_pub10070_.jpg,7,0,1,0,0,0,19,0,3.388888888888889
78,iaa_pub10071_.jpg,7,0,2,1,1,4,12,0,2.833333333333333
79,iaa_pub10072_.jpg,5,1,1,0,0,0,20,0,3.111111111111111
80,iaa_pub10073_.jpg,4,0,1,0,0,0,22,0,2.9814814814814814
81,iaa_pub10074_.jpg,2,0,1,2,0,0,22,0,1.9259259259259256
82,iaa_pub10075_.jpg,8,1,1,0,0,0,17,0,3.574074074074074
83,iaa_pub10076_.jpg,8,0,1,0,0,1,17,0,3.259259259259259
84,iaa_pub10077_.jpg,4,2,3,0,0,0,18,0,3.5185185185185186
85,iaa_pub10078_.jpg,5,0,3,1,0,0,18,0,3.1666666666666665
86,iaa_pub10079_.jpg,2,4,1,0,0,0,20,0,3.203703703703704
87,iaa_pub1007_.jpg,2,0,1,2,0,0,20,0,1.86
88,iaa_pub10080_.jpg,6,3,0,0,2,7,7,2,3.6296296296296298
89,iaa_pub10081_.jpg,11,0,1,0,0,0,14,0,3.5
90,iaa_pub10082_.jpg,8,0,0,0,0,0,18,0,3.326923076923077
91,iaa_pub10083_.jpg,5,3,2,0,0,0,16,0,3.519230769230769
92,iaa_pub10084_.jpg,12,0,0,0,7,0,7,0,3.8846153846153846
93,iaa_pub10085_.jpg,2,0,1,0,0,0,23,0,2.7884615384615383
